2014-04-30 15:17:35,623 DEBUG [SwingWorker-pool-2-thread-2] com.ingenuity.temp.apiupload.GenericApi.executePost(GenericApi.java:82) - 	geneid = 1387897_at
2014-04-30 15:17:35,623 DEBUG [SwingWorker-pool-2-thread-2] com.ingenuity.temp.apiupload.GenericApi.executePost(GenericApi.java:82) - 	geneid = 1387897_at
2014-04-30 15:17:35,624 DEBUG [SwingWorker-pool-2-thread-2] com.ingenuity.temp.apiupload.GenericApi.executePost(GenericApi.java:82) - 	expvalue = 6.387
2014-04-30 15:17:35,624 DEBUG [SwingWorker-pool-2-thread-2] com.ingenuity.temp.apiupload.GenericApi.executePost(GenericApi.java:82) - 	expvalue = 6.387
2014-04-30 15:17:35,624 DEBUG [SwingWorker-pool-2-thread-2] com.ingenuity.temp.apiupload.GenericApi.executePost(GenericApi.java:82) - 	obs2expval = 5.644
2014-04-30 15:17:35,624 DEBUG [SwingWorker-pool-2-thread-2] com.ingenuity.temp.apiupload.GenericApi.executePost(GenericApi.java:82) - 	obs2expval = 5.644
2014-04-30 15:17:35,624 DEBUG [SwingWorker-pool-2-thread-2] com.ingenuity.temp.apiupload.GenericApi.executePost(GenericApi.java:82) - 	obs3expval = #NUM!
2014-04-30 15:17:35,624 DEBUG [SwingWorker-pool-2-thread-2] com.ingenuity.temp.apiupload.GenericApi.executePost(GenericApi.java:82) - 	obs3expval = #NUM!
2014-04-30 15:17:35,624 DEBUG [SwingWorker-pool-2-thread-2] com.ingenuity.temp.apiupload.GenericApi.executePost(GenericApi.java:82) - 	obs4expval = #NUM!
2014-04-30 15:17:35,624 DEBUG [SwingWorker-pool-2-thread-2] com.ingenuity.temp.apiupload.GenericApi.executePost(GenericApi.java:82) - 	obs4expval = #NUM!
2014-04-30 15:17:35,624 DEBUG [SwingWorker-pool-2-thread-2] com.ingenuity.temp.apiupload.GenericApi.executePost(GenericApi.java:82) - 	obs5expval = #NUM!
2014-04-30 15:17:35,624 DEBUG [SwingWorker-pool-2-thread-2] com.ingenuity.temp.apiupload.GenericApi.executePost(GenericApi.java:82) - 	obs5expval = #NUM!
2014-04-30 15:17:35,624 DEBUG [SwingWorker-pool-2-thread-2] com.ingenuity.temp.apiupload.GenericApi.executePost(GenericApi.java:82) - 	obs6expval = #NUM!
2014-04-30 15:17:35,624 DEBUG [SwingWorker-pool-2-thread-2] com.ingenuity.temp.apiupload.GenericApi.executePost(GenericApi.java:82) - 	obs6expval = #NUM!
2014-04-30 15:17:35,624 DEBUG [SwingWorker-pool-2-thread-2] com.ingenuity.temp.apiupload.GenericApi.executePost(GenericApi.java:82) - 	geneid = 1387919_at
2014-04-30 15:17:35,624 DEBUG [SwingWorker-pool-2-thread-2] com.ingenuity.temp.apiupload.GenericApi.executePost(GenericApi.java:82) - 	geneid = 1387919_at
2014-04-30 15:17:35,624 DEBUG [SwingWorker-pool-2-thread-2] com.ingenuity.temp.apiupload.GenericApi.executePost(GenericApi.java:82) - 	expvalue = #NUM!
2014-04-30 15:17:35,624 DEBUG [SwingWorker-pool-2-thread-2] com.ingenuity.temp.apiupload.GenericApi.executePost(GenericApi.java:82) - 	expvalue = #NUM!
2014-04-30 15:17:35,624 DEBUG [SwingWorker-pool-2-thread-2] com.ingenuity.temp.apiupload.GenericApi.executePost(GenericApi.java:82) - 	obs2expval = -2.393
2014-04-30 15:17:35,624 DEBUG [SwingWorker-pool-2-thread-2] com.ingenuity.temp.apiupload.GenericApi.executePost(GenericApi.java:82) - 	obs2expval = -2.393
2014-04-30 15:17:35,624 DEBUG [SwingWorker-pool-2-thread-2] com.ingenuity.temp.apiupload.GenericApi.executePost(GenericApi.java:82) - 	obs3expval = #NUM!
2014-04-30 15:17:35,624 DEBUG [SwingWorker-pool-2-thread-2] com.ingenuity.temp.apiupload.GenericApi.executePost(GenericApi.java:82) - 	obs3expval = #NUM!
2014-04-30 15:17:35,624 DEBUG [SwingWorker-pool-2-thread-2] com.ingenuity.temp.apiupload.GenericApi.executePost(GenericApi.java:82) - 	obs4expval = #NUM!
2014-04-30 15:17:35,624 DEBUG [SwingWorker-pool-2-thread-2] com.ingenuity.temp.apiupload.GenericApi.executePost(GenericApi.java:82) - 	obs4expval = #NUM!
2014-04-30 15:17:35,624 DEBUG [SwingWorker-pool-2-thread-2] com.ingenuity.temp.apiupload.GenericApi.executePost(GenericApi.java:82) - 	obs5expval = #NUM!
2014-04-30 15:17:35,624 DEBUG [SwingWorker-pool-2-thread-2] com.ingenuity.temp.apiupload.GenericApi.executePost(GenericApi.java:82) - 	obs5expval = #NUM!
2014-04-30 15:17:35,624 DEBUG [SwingWorker-pool-2-thread-2] com.ingenuity.temp.apiupload.GenericApi.executePost(GenericApi.java:82) - 	obs6expval = #NUM!
2014-04-30 15:17:35,624 DEBUG [SwingWorker-pool-2-thread-2] com.ingenuity.temp.apiupload.GenericApi.executePost(GenericApi.java:82) - 	obs6expval = #NUM!
2014-04-30 15:17:35,624 DEBUG [SwingWorker-pool-2-thread-2] com.ingenuity.temp.apiupload.GenericApi.executePost(GenericApi.java:82) - 	geneid = 1387925_at
2014-04-30 15:17:35,624 DEBUG [SwingWorker-pool-2-thread-2] com.ingenuity.temp.apiupload.GenericApi.executePost(GenericApi.java:82) - 	geneid = 1387925_at
2014-04-30 15:17:35,624 DEBUG [SwingWorker-pool-2-thread-2] com.ingenuity.temp.apiupload.GenericApi.executePost(GenericApi.java:82) - 	expvalue = 5.282
